"STATION","NAME","DATE","AWND","PGTM","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2013-10-01","1.0",,"14.9","26.1","6.1","  300","  300","5.8","6.7","    1",,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2013-10-02","2.4",,"19.0","27.2","11.1","  290","  290","7.6","10.3","    1",,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2013-10-03","1.7",,"17.7","25.6","10.0","  270","  260","5.8","6.7",,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2013-10-04","1.5",,"14.6","20.0","10.0","   10","   10","5.4","6.3","    1",,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2013-10-05","0.9",,"17.3","22.8","14.4","   90","  120","3.1","4.0","    1",,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2013-10-06","2.0",,"16.4","17.8","13.3","  100","  100","6.3","7.6","    1",,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2013-10-07","3.8",,"17.1","25.0","13.3","  180","  180","14.3","20.1",,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2013-10-08","2.7",,"14.9","20.0","7.2","  320","  320","7.6","9.8",,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2013-10-09","2.9",,"11.2","18.3","5.0","   30","   20","7.2","8.1",,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2013-10-10","3.0",,"10.0","14.4","6.1","   10","   20","6.3","7.6",,,,,,,,
